FORMAT = Name, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='150000000.0'
# This model is not a physically accurate model at all, and is to be used only to get a feeling for orders of magnitude

, P1, 0:00:00.0, 90.00.00.00,,,,
sP1, P1, 0:00:00.00, 90.00.00.00, 10, [-0.8], false,
, P2, 2:00:00.0, 89.30.00.00,,,,
sP2, P2, 2:00:00.00, 89.30.00.00, 10, [-0.8], false,
, P3, 4:00:00.0, 89.00.00.00,,,,
sP3, P3, 4:00:00.00, 89.00.00.00, 10, [-0.8], false,
, P4, 6:00:00.0, 88.30.00.00,,,,
sP4, P4, 6:00:00.00, 88.30.00.00, 10, [-0.8], false,
, P5, 8:00:00.0, 88.00.00.00,,,,
sP5, P5, 8:00:00.00, 88.00.00.00, 10, [-0.8], false,
, P6, 10:00:00.0, 87.30.00.00,,,,
sP6, P6, 10:00:00.00, 87.30.00.00, 10, [-0.8], false,
, P7, 12:00:00.0, 87.00.00.00,,,,
sP7, P7, 12:00:00.00, 87.00.00.00, 10, [-0.8], false,
, P8, 14:00:00.0, 86.30.00.00,,,,
sP8, P8, 14:00:00.00, 86.30.00.00, 10, [-0.8], false,
, P9, 16:00:00.0, 86.00.00.00,,,,
sP9, P9, 16:00:00.00, 86.00.00.00, 10, [-0.8], false,
, P10, 18:00:00.0, 85.30.00.00,,,,
sP10, P10, 18:00:00.00, 85.30.00.00, 10, [-0.8], false,
, P11, 20:00:00.0, 85.00.00.00,,,,
sP11, P11, 20:00:00.00, 85.00.00.00, 10, [-0.8], false,
, P12, 22:00:00.0, 84.30.00.00,,,,
sP12, P12, 22:00:00.00, 84.30.00.00, 10, [-0.8], false,
, P13, 0:00:00.0, 84.00.00.00,,,,
sP13, P13, 0:00:00.00, 84.00.00.00, 10, [-0.8], false,


