FORMAT = Name, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='150000000.0'
# This model is not a physically accurate model at all, and is to be used only to get a feeling for orders of magnitude

, P1, 0:00:00.0, 90.00.00.00,,,,
sP1, P1, 0:00:00.00, 90.00.00.00, 10, [-0.8], false,
, P4, 6:00:00.0, 88.30.00.00,,,,
sP4, P4, 6:00:00.00, 88.30.00.00, 10, [-0.8], false,
, P7, 12:00:00.0, 87.00.00.00,,,,
sP7, P7, 12:00:00.00, 87.00.00.00, 10, [-0.8], false,
, P10, 18:00:00.0, 85.30.00.00,,,,
sP10, P10, 18:00:00.00, 85.30.00.00, 10, [-0.8], false,
, P13, 0:00:00.0, 84.00.00.00,,,,
sP13, P13, 0:00:00.00, 84.00.00.00, 10, [-0.8], false,


