replication,variety,nitro,yield
1,Victory,0,111
1,Victory,0.2,130
1,Victory,0.4,157
1,Victory,0.6,174
1,Golden,0,117
1,Golden,0.2,114
1,Golden,0.4,161
1,Golden,0.6,141
1,Marvellous,0,105
1,Marvellous,0.2,140
1,Marvellous,0.4,118
1,Marvellous,0.6,156
2,Victory,0,61
2,Victory,0.2,91
2,Victory,0.4,97
2,Victory,0.6,100
2,Golden,0,70
2,Golden,0.2,108
2,Golden,0.4,126
2,Golden,0.6,149
2,Marvellous,0,96
2,Marvellous,0.2,124
2,Marvellous,0.4,121
2,Marvellous,0.6,144
3,Victory,0,68
3,Victory,0.2,64
3,Victory,0.4,112
3,Victory,0.6,86
3,Golden,0,60
3,Golden,0.2,102
3,Golden,0.4,89
3,Golden,0.6,96
3,Marvellous,0,89
3,Marvellous,0.2,129
3,Marvellous,0.4,132
3,Marvellous,0.6,124
4,Victory,0,74
4,Victory,0.2,89
4,Victory,0.4,81
4,Victory,0.6,122
4,Golden,0,64
4,Golden,0.2,103
4,Golden,0.4,132
4,Golden,0.6,133
4,Marvellous,0,70
4,Marvellous,0.2,89
4,Marvellous,0.4,104
4,Marvellous,0.6,117
5,Victory,0,62
5,Victory,0.2,90
5,Victory,0.4,100
5,Victory,0.6,116
5,Golden,0,80
5,Golden,0.2,82
5,Golden,0.4,94
5,Golden,0.6,126
5,Marvellous,0,63
5,Marvellous,0.2,70
5,Marvellous,0.4,109
5,Marvellous,0.6,99
6,Victory,0,53
6,Victory,0.2,74
6,Victory,0.4,118
6,Victory,0.6,113
6,Golden,0,89
6,Golden,0.2,82
6,Golden,0.4,86
6,Golden,0.6,104
6,Marvellous,0,97
6,Marvellous,0.2,99
6,Marvellous,0.4,119
6,Marvellous,0.6,121
